"" "jobByResource" "" "Downtime" "calcTimeField" 1 71 11
"" "jobByResource" "" "Due Date" "dueDate" 1 48 8
"" "jobByResource" "" "Due Time" "calcTimeField" 2 48 9
"" "jobByResource" "" "End Date" "endDate" 1 37 6
"" "jobByResource" "" "End Time" "calcTimeField" 2 37 7
"" "jobByResource" "" "Job ID" "job" 1 5 2
"" "jobByResource" "" "Job Time" "calcTimeField" 1 59 10
"" "jobByResource" "" "Seq" "jobSequence" 1 1 1
"" "jobByResource" "" "Start Date" "startDate" 1 26 4
"" "jobByResource" "" "Start Time" "calcTimeField" 2 26 5
"" "jobByResource" "" "Status" "status" 2 5 3
"" "jobByResource" "" "Total Time" "calcTimeField" 1 83 12
"" "jobText" "" "Job ID" "job" 1 1 0
"" "jobText" "" "Customer" "userField01" 2 1 0
"" "jobText" "" "Customer Name" "userField02" 2 12 0
"" "jobText" "" "FG Item" "userField08" 3 1 0
"" "jobText" "" "Item Name" "userField09" 3 17 0
"" "jobToolTip" "" "Job ID" "job" 1 1 0 no ""
"" "jobToolTip" "" "Seq" "jobSequence" 1 22 0 no ""
"" "jobToolTip" "" "Resource" "resource" 1 26 0 no ""
"" "jobToolTip" "" "Start Date" "startDate" 2 1 0 no ""
"" "jobToolTip" "" "Start Time" "calcTimeField" 2 12 0 no ""
"" "jobToolTip" "" "End Date" "endDate" 3 1 0 no ""
"" "jobToolTip" "" "End Time" "calcTimeField" 3 12 0 no ""
"" "jobToolTip" "" "Due Date" "dueDate" 4 1 0 no ""
"" "jobToolTip" "" "Prod Date" "prodDate" 5 1 0 no ""
"" "pendingJobs" "" "Due Date" "dueDate" 1 82 8
"" "pendingJobs" "" "Due Time" "calcTimeField" 1 93 9
"" "pendingJobs" "" "End Date" "endDate" 1 60 6
"" "pendingJobs" "" "End Time" "calcTimeField" 1 71 7
"" "pendingJobs" "" "Job ID" "job" 1 1 1
"" "pendingJobs" "" "Resource" "resource" 1 22 2
"" "pendingJobs" "" "ResSeq" "resourceSequence" 1 31 3
"" "pendingJobs" "" "Start Date" "startDate" 1 38 4
"" "pendingJobs" "" "Start Time" "calcTimeField" 1 49 5
"" "status" "" "Due Date" "dueDate" 1 1 1
"" "status" "" "Job ID" "job" 1 12 2
"" "status" "" "Resource" "resource" 1 33 3
"" "status" "" "Status-1" "jobStatus[1]" 1 47 5
"" "status" "" "Status-10" "jobStatus[10]" 1 128 14
"" "status" "" "Status-11" "jobStatus[11]" 1 138 15
"" "status" "" "Status-12" "jobStatus[12]" 1 148 16
"" "status" "" "Status-13" "jobStatus[13]" 1 158 17
"" "status" "" "Status-14" "jobStatus[14]" 1 168 18
"" "status" "" "Status-2" "jobStatus[2]" 1 56 6
"" "status" "" "Status-3" "jobStatus[3]" 1 65 7
"" "status" "" "Status-4" "jobStatus[4]" 1 74 8
"" "status" "" "Status-5" "jobStatus[5]" 1 83 9
"" "status" "" "Status-6" "jobStatus[6]" 1 92 10
"" "status" "" "Status-7" "jobStatus[7]" 1 101 11
"" "status" "" "Status-8" "jobStatus[8]" 1 110 12
"" "status" "" "Status-9" "jobStatus[9]" 1 119 13
"" "status" "" "Type" "jobType" 1 42 4
"ASI" "dieCutting" "" "Blank" "userField19" 1 60 6
"ASI" "dieCutting" "" "Caliper" "userField22" 1 162 13
"ASI" "dieCutting" "" "Category" "userField21" 1 153 12
"ASI" "dieCutting" "" "Customer" "userField01" 1 44 4
"ASI" "dieCutting" "" "Die" "userField05" 1 137 11
"ASI" "dieCutting" "" "FG Item" "userField08" 1 66 7
"ASI" "dieCutting" "" "Form" "userField18" 1 55 5
"ASI" "dieCutting" "" "Item Name" "userField09" 1 82 8
"ASI" "dieCutting" "" "Job ID" "job" 1 1 1
"ASI" "dieCutting" "" "PO Due" "userField16" 1 170 14
"ASI" "dieCutting" "" "Sheet Qty" "userField23" 1 113 9
"ASI" "dieCutting" "" "Start Date" "startDate" 1 22 2
"ASI" "dieCutting" "" "Start Time" "calcTimeField" 1 33 3
"ASI" "dieCutting" "" "Total Time" "calcTimeField" 1 125 10
"ASI" "dieCutting" "" "Vendor" "userField17" 1 181 15
"ASI" "finishing" "" "Adhesive" "userField24" 1 170 14
"ASI" "finishing" "" "Blank" "userField19" 1 60 6
"ASI" "finishing" "" "Caliper" "userField22" 1 162 13
"ASI" "finishing" "" "Category" "userField21" 1 153 12
"ASI" "finishing" "" "Customer" "userField01" 1 44 4
"ASI" "finishing" "" "Die" "userField05" 1 137 11
"ASI" "finishing" "" "FG Item" "userField08" 1 66 7
"ASI" "finishing" "" "Form" "userField18" 1 55 5
"ASI" "finishing" "" "Item Name" "userField09" 1 82 8
"ASI" "finishing" "" "Job ID" "job" 1 1 1
